사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2022-03,2호선,0224,서초,24,0,"1,285","4,319","7,144","17,331","14,228","42,231","21,457","100,821","21,696","77,286","16,318","31,258","21,278","22,297","20,566","18,386","25,566","21,580","26,779","20,153","31,961","17,615","37,770","17,942","61,901","18,231","86,275","19,829","35,529","13,172","22,459","8,207","22,960","8,110","15,363","8,247","4,694","4,975",3,30,1,2,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0225,방배,2,1,"2,178","2,453","7,960","10,045","19,927","24,833","27,076","67,613","21,377","50,614","16,647","27,691","17,687","23,555","21,565","25,347","23,234","24,111","24,989","22,264","28,878","22,417","35,373","22,089","43,230","27,640","63,076","34,316","28,182","23,566","19,374","14,212","18,402","12,959","15,141","13,947","5,602","8,627",5,67,1,1,1,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0226,사당,52,1,"9,838","3,117","22,193","24,469","63,492","38,231","89,598","56,885","60,944","43,736","38,195","36,652","35,291","37,493","41,762","40,568","42,126","41,821","42,874","41,151","44,606","50,989","49,788","63,165","61,337","90,103","80,033","132,068","51,322","90,262","41,909","52,839","45,944","48,351","46,580","48,551","21,698","35,461",22,"2,506",0,1,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0227,낙성대(강감찬),30,0,"9,749","1,733","23,371","8,130","69,038","19,046","109,713","34,580","67,101","28,351","35,907","24,895","31,272","21,543","34,584","23,762","34,933","25,871","31,899","26,779","32,317","32,200","36,284","36,980","41,582","52,187","44,633","87,534","25,409","76,014","18,920","47,264","17,960","44,722","15,077","46,789","5,921","28,752",10,"2,317",0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0228,서울대입구(관악구청),"4,136",9,"25,272","2,043","37,667","12,140","109,621","27,550","157,170","65,814","101,493","58,270","56,360","52,042","52,132","43,441","59,316","47,208","61,785","52,467","56,410","53,515","60,529","58,236","67,951","67,939","77,529","96,191","83,971","158,780","51,027","127,247","42,529","72,572","44,525","66,937","43,043","68,610","17,678","44,743",4,"13,635",0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0229,봉천,42,0,"13,928",992,"25,181","6,070","68,792","11,242","106,542","24,790","61,298","17,291","33,213","16,626","28,427","16,891","29,889","19,831","29,914","22,177","25,385","23,371","24,859","32,136","26,717","35,458","26,680","46,050","29,948","77,472","17,289","64,295","12,605","38,283","11,649","35,992","8,808","33,846","3,079","22,470",5,684,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0230,신림,282,22,"35,115","3,094","69,965","17,503","181,795","32,883","280,991","56,905","165,255","45,553","86,565","40,727","72,077","41,762","77,782","50,836","73,809","57,037","66,395","61,310","66,370","79,688","72,745","97,250","78,687","129,158","82,935","231,985","51,196","198,811","40,808","117,028","38,428","110,531","37,624","101,329","18,603","76,059",21,962,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0231,신대방,78,0,"23,106","1,499","32,077","8,094","79,154","17,987","118,783","28,054","69,973","18,581","37,431","16,044","30,824","16,714","31,501","19,767","30,746","23,030","26,547","24,823","25,823","34,261","28,198","40,346","31,651","55,992","35,545","87,576","20,083","75,235","14,119","48,223","10,851","49,235","8,750","46,567","3,603","31,255",2,127,1,0,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0232,구로디지털단지,172,6,"34,786","4,586","46,252","19,259","116,819","74,931","158,056","220,845","95,606","120,497","54,836","45,697","48,929","37,543","54,480","39,429","55,257","50,143","50,034","48,203","53,269","55,268","64,471","68,146","110,332","89,858","195,834","143,539","91,038","113,101","51,694","68,487","43,017","66,349","36,380","62,726","14,703","43,310",11,305,0,1,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0233,대림(구로구청),515,17,"30,699","3,071","29,158","9,796","58,251","20,913","82,037","50,067","53,312","29,075","30,242","24,005","25,366","24,188","28,509","24,987","27,626","26,846","25,504","26,745","26,348","33,910","29,770","40,248","36,413","53,495","45,989","62,841","22,820","47,625","15,017","32,473","11,531","39,193","8,639","38,380","3,538","20,310",10,907,1,0,0,1,0,0,2022-04-03 09:20:04
2022-03,2호선,0234,신도림,"3,403",64,"29,414","4,211","43,880","17,218","114,156","34,732","118,110","94,570","72,235","52,047","47,462","50,718","47,097","46,978","54,499","51,646","55,798","56,317","54,826","53,937","58,930","60,464","65,407","69,369","79,505","91,028","105,910","146,559","60,070","104,654","47,794","59,148","47,438","54,015","34,120","55,247","14,499","49,700",42,"11,515",1,2,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0235,문래,0,0,"3,123","2,388","10,762","12,657","36,087","30,748","40,618","107,118","21,805","49,224","16,396","21,139","16,399","18,591","18,686","20,358","20,936","21,982","20,864","20,471","22,699","21,155","30,185","23,870","51,235","30,008","92,389","46,752","32,180","33,078","21,494","16,788","21,564","14,667","17,104","13,782","7,628","9,514",4,351,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0236,영등포구청,23,1,"4,903","2,782","10,711","12,424","33,974","32,974","39,583","114,010","24,767","51,024","20,123","24,159","21,265","21,345","23,676","21,241","24,011","23,129","24,806","21,822","27,178","22,667","31,709","25,012","47,930","30,536","94,205","47,439","32,423","31,913","22,881","18,050","21,299","15,577","16,771","15,021","6,617","11,946",2,766,0,1,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0237,당산,24,2,"5,563","2,438","14,720","10,609","40,725","25,587","49,263","65,597","28,450","31,014","19,963","15,536","19,042","15,272","20,156","17,606","20,802","19,816","18,972","18,905","20,205","21,870","23,366","26,968","35,938","38,255","52,460","63,932","22,440","42,900","16,057","25,820","15,749","24,796","14,637","22,816","6,059","18,129",11,751,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0238,합정,31,5,"5,947","2,370","14,994","12,008","38,062","27,557","48,643","81,609","31,012","70,276","22,804","37,794","23,418","39,736","29,078","42,351","32,389","47,611","34,294","44,577","37,240","44,830","44,340","51,605","61,142","64,381","101,054","91,902","64,910","59,441","50,320","29,792","54,034","24,046","52,771","21,344","27,411","16,683",12,996,0,0,0,1,0,0,2022-04-03 09:20:04
2022-03,2호선,0239,홍대입구,326,7,"9,614","2,844","18,498","13,165","50,518","30,554","64,536","86,673","42,090","104,395","30,813","66,134","37,373","78,907","49,120","95,077","56,375","108,177","61,637","104,502","74,537","108,479","95,781","116,689","121,398","137,726","147,362","170,383","116,609","113,688","112,743","54,541","133,947","39,101","145,857","32,871","76,058","26,888",231,"3,967",0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0240,신촌,40,5,"4,214","2,049","10,941","11,630","30,219","28,949","43,950","68,875","30,231","73,857","28,818","48,198","34,539","44,259","43,470","49,457","44,917","56,608","47,056","50,895","55,029","46,070","62,327","50,637","76,635","67,063","77,423","88,039","54,652","57,576","55,761","30,140","59,317","27,303","62,398","24,226","28,071","20,840",10,208,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0241,이대,29,2,"2,700",784,"7,354","6,768","21,403","10,670","28,567","32,396","16,913","28,379","12,827","21,582","14,632","17,688","18,382","19,822","19,528","23,336","18,965","19,061","23,113","18,406","26,665","20,454","34,716","24,882","32,199","34,859","19,500","26,328","16,055","15,866","15,448","16,275","12,069","16,028","3,584","12,984",2,78,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0242,아현,24,0,"3,877",836,"9,844","5,785","24,534","12,343","32,682","19,786","19,243","10,660","13,156","9,118","12,798","8,982","14,296","10,669","13,815","10,870","12,708","11,953","15,113","13,130","20,749","15,015","17,117","20,348","17,944","27,976","10,279","21,851","6,903","13,766","5,708","12,943","4,192","12,303","1,573","8,782",2,27,1,3,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0243,충정로(경기대입구),5,0,"2,798",975,"5,693","6,243","13,937","19,491","19,043","51,080","11,884","23,000","8,981","10,979","9,167","8,793","9,882","9,105","10,697","10,422","11,268","9,967","12,374","9,705","14,678","10,524","22,893","13,327","41,090","18,399","12,481","12,743","7,931","8,275","6,978","8,057","5,610","7,309","2,246","5,731",5,177,0,0,0,1,0,0,2022-04-03 09:20:04
2022-03,2호선,0244,용답,4,0,"2,156",136,"3,088","1,008","6,982","1,582","11,203","4,286","6,375","8,057","4,171","4,184","4,136","3,346","5,034","3,850","5,105","5,952","4,515","3,817","5,456","4,538","7,139","5,728","6,796","6,546","4,125","9,584","2,304","6,862","1,748","4,326","1,158","5,006","1,108","4,841",385,"3,487",0,4,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0245,신답,7,0,931,64,"1,706",403,"5,457",840,"9,183","1,586","4,107",941,"2,016","1,142","1,690","1,130","1,938","1,269","1,791","1,332","1,668","1,705","1,551","2,383","1,590","3,150","1,860","3,908","1,913","8,678",932,"5,925",457,"2,766",431,"3,027",347,"2,489",104,"2,013",0,37,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0246,신설동,37,2,"1,076",229,"1,285","1,564","3,728","4,847","6,796","11,718","4,219","7,825","3,243","6,910","4,324","6,220","5,477","6,245","6,022","6,304","6,683","5,719","7,314","5,445","8,129","4,524","9,363","5,064","11,836","6,245","4,248","4,634","2,422","2,822","2,210","2,633","1,688","2,300",654,"1,789",3,243,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0247,도림천,0,0,278,325,"1,095",720,"2,959","4,851","3,024","5,436","1,739","2,069","1,731","1,321","1,427","1,112","2,315","1,820","1,609","1,211","1,912","1,650","2,309","1,393","3,446","1,675","2,698","1,949","3,417","2,609","1,741","2,319",633,"1,408",853,"1,184",345,"1,048",142,848,1,51,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0248,양천구청,39,0,"4,207",835,"9,711","2,088","28,102","4,597","25,850","8,804","14,346","4,252","9,057","3,951","8,196","4,579","8,767","5,718","8,161","6,630","6,562","7,032","6,418","8,619","7,375","10,993","7,872","15,512","8,477","25,271","3,656","21,832","2,329","11,317","1,871","10,398","1,718","9,429",468,"7,163",1,601,0,0,0,0,0,0,2022-04-03 09:20:04
